,Date,text,ID,Username,VADER negative score,VADER neutral score,VADER positive score,VADER compound score
0,May-08-2020,"Sen. Harris: “The president has his attorney general, the hand of the president, doing his political work, his pers… https://t.co/b4HHPMEnDX",1258618384830398464,MSNBC,0.0,0.856,0.144,0.4939
1,May-08-2020,".@MaddowBlog: Trump: 'We make ourselves look bad' through coronavirus testing
https://t.co/VgO7GHC1bH",1258615631945052161,MSNBC,0.259,0.741,0.0,-0.5423
2,May-08-2020,.@ChuckTodd: “The White House confirmed it has basically shelved CDC guidelines that are intended to … help schools… https://t.co/gBjYfO9rQK,1258610841257152513,MSNBC,0.0,0.87,0.13,0.4019
3,May-08-2020,"Fmr. Acting CDC Director Richard Besser: “In every outbreak I was involved in, one of the most important success fa… https://t.co/5AWqu8C5zS",1258608345688219653,MSNBC,0.0,0.758,0.242,0.7245
4,May-08-2020,"1.6M people in Florida have filed for unemployment amid the coronavirus pandemic,@KerryNBC reports. 

“The unemploy… https://t.co/TRaODuKlBw",1258604290861654016,MSNBC,0.162,0.838,0.0,-0.4404
5,May-08-2020,.@oneunderscore__ says “there’s no real way to stop” the spread of disinformation and conspiracy theories amid the… https://t.co/FtXYi40ZwJ,1258599282552311808,MSNBC,0.259,0.741,0.0,-0.6808
6,May-08-2020,".@DashaBurns reports from Washington state where potato farmers say they ""don't know if they're going to survive"" a… https://t.co/pzrFCsDzBW",1258595990476673027,MSNBC,0.0,1.0,0.0,0.0
7,May-08-2020,"“It is breathtaking dishonesty from the Justice Department,” fmr. DOJ chief spokesman Matthew Miller says on Michae… https://t.co/49MIjXC1NN",1258593235783614470,MSNBC,0.0,0.714,0.286,0.7506
8,May-08-2020,"In Ep.13 of #IntoAmerica: America's unemployment rate is nearing that of the Great Depression. 

How is this histor… https://t.co/s5csAnyKHR",1258589000165658624,MSNBC,0.247,0.599,0.154,-0.3612
9,May-08-2020,.@Chrislhayes: “We have seen the president and his administration do this over and over ... And now they are going… https://t.co/jbAjN4Pz5A,1258585423988826112,MSNBC,0.0,1.0,0.0,0.0
10,May-08-2020,"UPDATE: At least 85 kids across U.S. have developed rare, mysterious COVID-19-linked illness. https://t.co/ahrej3tjvf",1258581909917052938,MSNBC,0.172,0.828,0.0,-0.4019
11,May-08-2020,"Dr. Scott Gottlieb says it's ""highly likely"" that coronavirus will come back in the fall.

""We need in place much b… https://t.co/Efe31Bu3IT",1258578382876532737,MSNBC,0.0,1.0,0.0,0.0
12,May-08-2020,The White House sent back the CDC’s recommendations for reopening the economy in April out of concern that they wer… https://t.co/8AVgjSWxMF,1258572844436525056,MSNBC,0.0,1.0,0.0,0.0
13,May-08-2020,"A Detroit mother died holding her daughter’s hand after the pair were hospitalized together with coronavirus.

“My… https://t.co/ZcqPFKcXwT",1258570316223254533,MSNBC,0.158,0.702,0.14,-0.1027
14,May-08-2020,"“Around the world you are seeing unprecedented public sector and private sector collaboration,” Dr. Kavita Patel sa… https://t.co/xZlr21ewSZ",1258565810144063490,MSNBC,0.0,1.0,0.0,0.0
15,May-08-2020,House Intel Cmte. Chairman Schiff on the DOJ dropping case against Michael Flynn: “This really puts us back in the… https://t.co/RUFahzs0Oo,1258564797328744448,MSNBC,0.0,1.0,0.0,0.0
16,May-08-2020,WATCH: @SteveKornacki goes to the big board to break down how Americans have been impacted by the economic downturn… https://t.co/sUBMxFPo7a,1258564545859276801,MSNBC,0.0,1.0,0.0,0.0
17,May-08-2020,"Joe Biden is leading against President Trump by nine points in a general election matchup, and Biden leads among wo… https://t.co/UyEgs67Bw0",1258558745837285379,MSNBC,0.0,1.0,0.0,0.0
18,May-08-2020,BREAKING: Father and son arrested and charged with murder in shooting death of Ahmaud Arbery in Georgia. https://t.co/R75EkzmRl3,1258556554225373184,MSNBC,0.491,0.509,0.0,-0.926
19,May-08-2020,Rep. Escobar on reopening the economy in Texas: “Until we address that health challenge … it’s going to be very har… https://t.co/j9qFsolIK8,1258555734394122241,MSNBC,0.0,0.942,0.058,0.0772
20,May-08-2020,"Live now on @MSNBC:

House Intelligence Cmte. Chairman Schiff discusses the Justice Department dropping Michael Fly… https://t.co/1dGpUCY8Kh",1258554274025549824,MSNBC,0.0,0.698,0.302,0.7579
21,May-08-2020,Chicago Mayor on surge of COVID-19 cases in black and Latino communities in the city: “We are going all in to make… https://t.co/v2h0ES2xB1,1258550701749223424,MSNBC,0.0,1.0,0.0,0.0
22,May-07-2020,"Sen. Harris: “The president has his attorney general, the hand of the president, doing his political work, his pers… https://t.co/NU3TUwcnUU",1258542641383239681,MSNBC,0.0,0.856,0.144,0.4939
23,May-07-2020,"""I think that he understands that there are some areas that don't have PPE,"" Sophia Thomas, President of the Associ… https://t.co/YJi9oXIfWn",1258539372200132608,MSNBC,0.0,1.0,0.0,0.0
24,May-07-2020,"NEW: Dallas salon owner, who had defied her state's shutdown orders, walked out of jail on Thursday after Texas Gov… https://t.co/Enu2WpbVS0",1258536749371777025,MSNBC,0.0,1.0,0.0,0.0
25,May-07-2020,"In Ep.13 of #IntoAmerica: America's unemployment rate is nearing that of the Great Depression. 

How is this histor… https://t.co/KvdCJ8XfMm",1258536378586914816,MSNBC,0.247,0.599,0.154,-0.3612
26,May-07-2020,“Our support of equality for women and girls is going to be more important than ever in this crisis and the afterma… https://t.co/n8xbkKdqs9,1258533090806255616,MSNBC,0.164,0.674,0.162,-0.2691
27,May-07-2020,"Tara Reade, who accused Joe Biden of sexually assault, is calling on the fmr. vice president to “step forward and b… https://t.co/7Da2xn8dzm",1258527291354701824,MSNBC,0.231,0.769,0.0,-0.7184
28,May-07-2020,"""This is dystopic,"" @Maddow says about the Trump admin. ""exhorting"" meat plants to reopen amid coronavirus outbreak… https://t.co/gP0aZTWX3Y",1258525030859718658,MSNBC,0.0,1.0,0.0,0.0
29,May-07-2020,"Joe Biden says the killing of Ahmaud Arbery amounts to a lynching “before our very eyes,” demands a transparent inv… https://t.co/kRTKxyUtEU",1258521254992044033,MSNBC,0.18,0.82,0.0,-0.6597
30,May-07-2020,"S. Lee Merritt, attorney for the family of Ahmaud Arbery, a black jogger who was shot dead in Georgia, says the FBI… https://t.co/US3wbkx2Di",1258517228636397568,MSNBC,0.163,0.837,0.0,-0.6486
31,May-07-2020,WATCH: @PeteWilliamsNBC breaks down Michael Flynn’s trial as the Justice Department drops criminal case against him… https://t.co/7ErAz0voYu,1258512961095651328,MSNBC,0.156,0.688,0.156,0.0
32,May-07-2020,".@MaddowBlog: Nurse exposes Pres. Trump to key information he didn't want to hear
https://t.co/Zi4Lm0RQ27",1258509925904379904,MSNBC,0.185,0.815,0.0,-0.1833
33,May-07-2020,.@JonLemire discusses the Justice Department dropping its case against Michael Flynn: “The president will try to fr… https://t.co/lIFBx6HGQg,1258505904695021569,MSNBC,0.0,0.833,0.167,0.5267
34,May-07-2020,".@chrislhayes: ""They try to prevent [President Trump and VP Pence] from getting sick by implementing an incredibly… https://t.co/aI64FQ9aYf",1258502149937471490,MSNBC,0.162,0.784,0.054,-0.4939
