,Date,text,ID,Username,VADER negative score,VADER neutral score,VADER positive score,VADER compound score
0,May-08-2020,"Donald J. Trump on Twitter: ""… """,1258804519816826883,realDonaldTrump,0.0,1.0,0.0,0.0
1,May-08-2020,"Retired Ice Director Tom Homan knows more about the Border and Border Security than anyone. He’s a tough guy, but a… https://t.co/2tfttYnxrW",1258803459303890946,realDonaldTrump,0.054,0.871,0.074,0.1154
2,May-08-2020,DRAIN THE SWAMP!,1258720717258006530,realDonaldTrump,0.0,1.0,0.0,0.0
3,May-08-2020,"Yesterday was a BIG day for Justice in the USA. Congratulations to General Flynn, and many others. I do believe the… https://t.co/Dy6ECGhMdw",1258717838849847298,realDonaldTrump,0.0,0.733,0.267,0.8074
4,May-08-2020,I will be interviewed on @foxandfriends at 8:00 A.M. Enjoy!,1258716204832825344,realDonaldTrump,0.0,0.72,0.28,0.5411
5,May-07-2020,Twitter / ?,1258546186014748673,realDonaldTrump,0.0,1.0,0.0,0.0
6,May-07-2020,"The White House on Twitter: ""This is a big moment in America's history: opening up our Country again and rebuilding the greatest economy anywhere in the world 🇺🇸… https://t.co/evplSaBcmr""",1258479301994954754,realDonaldTrump,0.0,0.87,0.13,0.6369
7,May-07-2020,"Today, @FLOTUS celebrates the two year anniversary of #BeBest, her initiative dedicated to bringing awareness to is… https://t.co/ViRtHZQ7CG",1258465767751856130,realDonaldTrump,0.0,0.705,0.295,0.7717
8,May-07-2020,"Congratulations to former Governor of New Jersey, Chris Christie, and all others involved, on a complete and total… https://t.co/3J0dernX76",1258448362409426944,realDonaldTrump,0.0,0.822,0.178,0.5994
9,May-07-2020,"As you know, I designated this day to be a National Day of Prayer. As our Nation heals, our Spirit has never been S… https://t.co/EyPHRhizAR",1258432889303248896,realDonaldTrump,0.0,0.934,0.066,0.1779
10,May-06-2020,"Proclamation on National Nurses Day, 2020 | The White House",1258134788294270977,realDonaldTrump,0.0,1.0,0.0,0.0
11,May-06-2020,The Fake News has reached an all time high!,1258053124893347841,realDonaldTrump,0.288,0.594,0.119,-0.4574
12,May-06-2020,"The White House CoronaVirus Task Force, headed by Vice President Mike Pence, has done a fantastic job of bringing t… https://t.co/JxkeIqhnNm",1258020179692445697,realDonaldTrump,0.0,0.847,0.153,0.5574
13,May-06-2020,Thank you @Honeywell! https://t.co/4jH6NF63XI,1257873257732214784,realDonaldTrump,0.0,0.518,0.482,0.4199
14,May-06-2020,"Donald J. Trump on Twitter: ""… """,1257822958522753024,realDonaldTrump,0.0,1.0,0.0,0.0
15,May-05-2020,"I was thrilled to be back in the Great State of Arizona with the incredible, patriotic, and hardworking men and wom… https://t.co/zcMb4YAJr1",1257793742540386304,realDonaldTrump,0.0,0.741,0.259,0.7906
16,May-05-2020,Will be doing a major interview tonight at 6:30 P.M. Eastern with @DavidMuir on @ABCWorldNews Tonight.,1257768408256409601,realDonaldTrump,0.0,1.0,0.0,0.0
17,May-05-2020,"On #NationalTeacherDay, we recognize the countless men and women who dedicate their lives to instilling character,… https://t.co/JWRaUAcSup",1257753237790158848,realDonaldTrump,0.0,1.0,0.0,0.0
18,May-05-2020,Getting ready to land in the Great State of Arizona!,1257744763832299520,realDonaldTrump,0.0,0.537,0.463,0.784
19,May-05-2020,"Wow! Congratulations to Greg Gutfeld, a one time Trump Hater who has come all the way home. His Ratings easily beat… https://t.co/yMR1WdY0nZ",1257744456591130624,realDonaldTrump,0.09,0.577,0.333,0.8221
20,May-05-2020,"Well run States should not be bailing out poorly run States, using CoronaVirus as the excuse! The elimination of Sa… https://t.co/eD0NxzR9Mq",1257741326650470400,realDonaldTrump,0.0,0.837,0.163,0.4003
21,May-05-2020,"Most of the money raised by the RINO losers of the so-called “Lincoln Project”, goes into their own pockets. With w… https://t.co/8GiWe32Cjb",1257736426206031874,realDonaldTrump,0.139,0.861,0.0,-0.5267
22,May-05-2020,Remember this? Happy #CincoDeMayo! https://t.co/1jDZHNTHHj,1257725719469158401,realDonaldTrump,0.0,0.501,0.499,0.6114
23,May-05-2020,"The Do Nothing Democrats and their leader, the Fake News Lamestream Media, are doing everything possible to hurt an… https://t.co/kfs6vMo30Q",1257715551729676289,realDonaldTrump,0.265,0.735,0.0,-0.7579
24,May-05-2020,"For the constant criticism from the Do Nothing Democrats and their Fake News partners, here is the newest chart on… https://t.co/ii4nG2nZN5",1257714716492722176,realDonaldTrump,0.24,0.76,0.0,-0.7184
25,May-05-2020,"Governors should let roads and highway construction begin before heavy traffic starts, which will be soon. Some Gov… https://t.co/khNsNQhkSM",1257659682816241665,realDonaldTrump,0.0,1.0,0.0,0.0
26,May-05-2020,Heading to Arizona!,1257651144739950593,realDonaldTrump,0.0,1.0,0.0,0.0
